Year,community ,news_article_text,Positive Representation (%),Neutral Representation (%),Negative Representation (%),Media Platform,Label
2004,european,1941,21.98,38.65,39.37,le monde,european_le monde_
2004,european,3112,20.71,34.48,44.81,nbc news,european_nbc news_
2004,hispanic,4806,53.96,35.22,10.82,times,hispanic_the times_
2004,african,2118,23.41,37.68,38.91,abc news,african_abc news_
2004,middle eastern,1800,56.22,44.3,-0.51,abc news,middle eastern_abc news_
2004,middle eastern,1756,51.45,43.08,5.48,al jazeera,middle eastern_al jazeera_
2004,indigenous,3867,30.15,36.47,33.38,fox news,indigenous_fox news_
2004,asian,4367,53.28,45.47,1.24,fox news,asian_fox news_
2004,hispanic,1691,50.85,23.27,25.88,al jazeera,hispanic_al jazeera_
2004,indigenous,1383,46.06,37.91,16.04,nbc news,indigenous_nbc news_
2004,african,2162,24.47,25.51,50.02,bbc,african_bbc_
2004,african,3987,11.35,21.99,66.66,cnn,african_cnn_
2004,asian,3213,33.43,40.71,25.85,cnn,asian_cnn_
2004,asian,1591,49.69,43.64,6.67,abc news,asian_abc news_
2004,indigenous,4108,32.16,46.07,21.77,al jazeera,indigenous_al jazeera_
2004,asian,4104,33.33,22.25,44.41,cnn,asian_cnn_
2004,european,3243,56.76,31.83,11.42,washington post,european_washington post_
2004,european,1684,57.81,27.15,15.04,washington post,european_washington post_
2004,middle eastern,1025,48.81,48.8,2.39,fox news,middle eastern_fox news_
2004,asian,2435,46.53,48.71,4.77,nbc news,asian_nbc news_
2004,asian,3046,35,30.81,34.19,cbs news,asian_cbs news_
2004,asian,1192,29.36,34.27,36.38,cnn,asian_cnn_
2004,asian,1561,18.09,28.36,53.54,ny times,asian_ny times_
2004,middle eastern,3978,29.19,31.27,39.54,associated press,middle eastern_associated press_
2004,middle eastern,4068,46.68,29.49,23.82,fox news,middle eastern_fox news_
2004,asian,3679,41.47,41.31,17.22,abc news,asian_abc news_
2004,hispanic,3035,59.53,40.75,-0.28,washington post,hispanic_washington post_
2004,african,1648,32.09,25.71,42.2,cnn,african_cnn_
2004,hispanic,3522,40.7,32.66,26.64,associated press,hispanic_associated press_
2004,middle eastern,1698,28.76,38.01,33.23,bloomberg,middle eastern_bloomberg_
2004,indigenous,3703,21.51,48.34,30.15,abc news,indigenous_abc news_
2004,indigenous,3586,16.58,49.43,33.99,fox news,indigenous_fox news_
2004,indigenous,2665,41.17,36.23,22.6,bbc,indigenous_bbc_
2004,african,1732,44.68,33.53,21.79,times,african_the times_
2004,european,2322,50.42,25.35,24.23,bbc,european_bbc_
2004,hispanic,2720,31.43,20.29,48.27,washington post,hispanic_washington post_
2004,african,2902,16.14,46.94,36.92,reuters,african_reuters_
2004,asian,3828,11.57,41.68,46.75,times,asian_the times_
2004,asian,3563,29.56,20.19,50.25,fox news,asian_fox news_
2004,hispanic,3207,29.5,48.36,22.15,associated press,hispanic_associated press_
2004,asian,2364,57,33.4,9.6,washington post,asian_washington post_
2004,hispanic,3424,50.18,43.26,6.56,cnn,hispanic_cnn_
2004,asian,3118,45.64,20.55,33.82,abc news,asian_abc news_
2004,hispanic,4569,49.61,21.77,28.62,hindu,hispanic_the hindu_
2004,asian,4501,19.84,36.66,43.5,cnn,asian_cnn_
2004,european,636,49.58,46,4.42,al jazeera,european_al jazeera_
2004,middle eastern,1660,41.27,48.56,10.17,ny times,middle eastern_ny times_
2004,indigenous,2287,17.47,33.06,49.47,hindu,indigenous_the hindu_
2004,european,1188,26.16,49.12,24.72,nbc news,european_nbc news_
2004,indigenous,1230,12.47,42.88,44.65,ny times,indigenous_ny times_
2004,asian,4849,48.42,38.94,12.64,ny times,asian_ny times_
2004,asian,4918,37.21,43.38,19.4,deutsche welle,asian_deutsche welle_
2004,african,1404,44.49,38.15,17.36,bbc,african_bbc_
2004,european,2301,10.5,41.47,48.03,al jazeera,european_al jazeera_
2004,middle eastern,4394,20.66,39.48,39.86,hindu,middle eastern_the hindu_
2004,indigenous,4946,59.83,48.43,-8.26,guardian,indigenous_the guardian_
2004,hispanic,2434,41.73,31.06,27.21,reuters,hispanic_reuters_
2004,hispanic,3285,43.92,22.65,33.43,bloomberg,hispanic_bloomberg_
2004,african,2005,10.47,30.1,59.43,bbc,african_bbc_
2004,african,3474,50.26,24.88,24.86,washington post,african_washington post_
2004,asian,1999,52.29,36.28,11.43,hindu,asian_the hindu_
2004,asian,2212,24.09,32.65,43.26,reuters,asian_reuters_
2004,middle eastern,2555,59.81,42.25,-2.05,bloomberg,middle eastern_bloomberg_
2004,indigenous,4065,10.13,20.98,68.9,cnn,indigenous_cnn_
2005,middle eastern,4404,12.07,22.55,65.38,abc news,middle eastern_abc news_
2005,asian,3496,19.13,30.83,50.04,fox news,asian_fox news_
2005,indigenous,1520,50.66,38.24,11.1,le monde,indigenous_le monde_
2005,indigenous,3012,35.8,48,16.19,ny times,indigenous_ny times_
2005,middle eastern,3132,31.29,40.31,28.4,washington post,middle eastern_washington post_
2005,middle eastern,4084,12.6,45.12,42.28,times,middle eastern_the times_
2005,middle eastern,1904,41.75,45.34,12.91,fox news,middle eastern_fox news_
2005,african,4751,29.19,47.05,23.76,bbc,african_bbc_
2005,middle eastern,4111,57.23,44,-1.22,bloomberg,middle eastern_bloomberg_
2005,asian,1789,50.7,37.8,11.5,al jazeera,asian_al jazeera_
2005,middle eastern,1073,57.39,20.24,22.37,deutsche welle,middle eastern_deutsche welle_
2005,african,3727,44.98,34.35,20.67,reuters,african_reuters_
2005,middle eastern,1619,16.28,37.87,45.85,guardian,middle eastern_the guardian_
2005,middle eastern,1115,31.72,20.88,47.4,bloomberg,middle eastern_bloomberg_
2005,asian,4277,11.17,30.96,57.88,times,asian_the times_
2005,european,4755,12.3,38.97,48.73,cbs news,european_cbs news_
2005,middle eastern,4802,13.78,43.3,42.92,reuters,middle eastern_reuters_
2005,middle eastern,4973,54.33,40.59,5.08,times,middle eastern_the times_
2005,hispanic,3454,46.32,25.41,28.27,guardian,hispanic_the guardian_
2005,middle eastern,4566,58.98,25.54,15.48,abc news,middle eastern_abc news_
2005,hispanic,652,11.91,45.51,42.58,bloomberg,hispanic_bloomberg_
2005,middle eastern,4924,37.85,26.84,35.31,al jazeera,middle eastern_al jazeera_
2005,hispanic,644,20.3,44.61,35.08,associated press,hispanic_associated press_
2005,african,1764,44.95,44.71,10.34,al jazeera,african_al jazeera_
2005,asian,4231,23.08,49.16,27.76,fox news,asian_fox news_
2005,hispanic,506,30.81,45.77,23.41,bbc,hispanic_bbc_
2005,asian,2335,48.59,35.96,15.45,reuters,asian_reuters_
2005,middle eastern,1567,51.46,34.63,13.92,washington post,middle eastern_washington post_
2005,asian,1801,15.21,30.1,54.68,cnn,asian_cnn_
2005,african,3485,25.61,36.18,38.21,washington post,african_washington post_
2005,european,869,13.58,45.55,40.87,cnn,european_cnn_
2005,asian,2555,58.4,20.59,21,le monde,asian_le monde_
2005,african,3954,40.42,42.25,17.34,le monde,african_le monde_
2005,asian,4658,40.94,27.06,32.01,al jazeera,asian_al jazeera_
2005,indigenous,4309,25.96,24.2,49.84,bbc,indigenous_bbc_
2005,african,4647,46.74,26.73,26.53,ny times,african_ny times_
2005,european,3551,19.96,48.06,31.99,times,european_the times_
2005,asian,2315,53.43,49.91,-3.34,washington post,asian_washington post_
2005,european,2480,35.51,29.74,34.75,bloomberg,european_bloomberg_
2005,asian,2656,50.77,40.26,8.97,al jazeera,asian_al jazeera_
2005,indigenous,4009,43.27,48.02,8.71,fox news,indigenous_fox news_
2005,indigenous,1768,24.86,42.48,32.66,cnn,indigenous_cnn_
2005,middle eastern,4658,20.53,43.58,35.9,le monde,middle eastern_le monde_
2005,indigenous,1581,52.69,25.37,21.93,bloomberg,indigenous_bloomberg_
2005,asian,3951,27.8,40.2,32,al jazeera,asian_al jazeera_
2005,indigenous,3416,16.67,40.48,42.85,cnn,indigenous_cnn_
2005,african,3225,12.43,26.95,60.62,abc news,african_abc news_
2005,hispanic,3800,57.77,39.02,3.21,cnn,hispanic_cnn_
2005,indigenous,1999,43.81,35.07,21.12,deutsche welle,indigenous_deutsche welle_
2005,hispanic,3260,14.53,45.97,39.5,le monde,hispanic_le monde_
2005,european,1654,28.34,36.11,35.55,washington post,european_washington post_
2005,hispanic,4820,13.57,33.43,53,bbc,hispanic_bbc_
2005,asian,4794,20.3,43.99,35.71,cnn,asian_cnn_
2005,european,2809,50.2,24.47,25.33,nbc news,european_nbc news_
2005,asian,1242,50.36,27.28,22.35,cbs news,asian_cbs news_
2005,african,1877,29.11,36.6,34.29,al jazeera,african_al jazeera_
2005,african,628,29.12,30.3,40.58,washington post,african_washington post_
2005,european,1037,57.24,28.68,14.08,le monde,european_le monde_
2005,european,4929,39.64,37.53,22.83,ny times,european_ny times_
2005,hispanic,4961,28.79,41.43,29.79,washington post,hispanic_washington post_
2005,african,2664,45.07,42.71,12.21,fox news,african_fox news_
2005,indigenous,4790,49.1,31.94,18.96,guardian,indigenous_the guardian_
2005,african,691,52.32,47.89,-0.22,associated press,african_associated press_
2005,middle eastern,4967,27.72,27.96,44.32,abc news,middle eastern_abc news_
2005,european,2905,49.98,30.19,19.83,al jazeera,european_al jazeera_
2005,hispanic,580,49.04,46.4,4.56,times,hispanic_the times_
2005,hispanic,2230,23.78,29.69,46.53,cbs news,hispanic_cbs news_
2005,european,3748,10.08,25.23,64.69,ny times,european_ny times_
2005,european,2654,58.84,27.82,13.34,nbc news,european_nbc news_
2005,european,1787,33.62,29.56,36.82,washington post,european_washington post_
2005,african,4682,48.74,24.95,26.31,le monde,african_le monde_
2005,hispanic,1152,14.54,21.02,64.45,reuters,hispanic_reuters_
2005,asian,516,50.42,35.67,13.92,ny times,asian_ny times_
2005,african,1169,21.95,31.41,46.64,fox news,african_fox news_
2005,european,3924,39.26,48.34,12.4,guardian,european_the guardian_
2005,european,3722,30.61,43,26.4,le monde,european_le monde_
2005,european,1821,23.51,40.55,35.94,cnn,european_cnn_
2005,european,3815,46.4,42.9,10.7,guardian,european_the guardian_
2005,hispanic,902,13.22,47.36,39.42,nbc news,hispanic_nbc news_
2005,african,1765,29.24,39.39,31.37,abc news,african_abc news_
2005,middle eastern,3701,57.53,45.88,-3.41,hindu,middle eastern_the hindu_
2005,african,1496,43.69,24.64,31.67,guardian,african_the guardian_
2005,hispanic,2619,34.84,46.25,18.91,bloomberg,hispanic_bloomberg_
2005,asian,4372,36.66,28.03,35.31,al jazeera,asian_al jazeera_
2005,asian,3237,20.67,47.34,31.99,reuters,asian_reuters_
2005,indigenous,2269,41.38,47.4,11.22,nbc news,indigenous_nbc news_
2005,asian,2446,11.86,45.27,42.88,cbs news,asian_cbs news_
2005,hispanic,1146,39.77,37.89,22.34,deutsche welle,hispanic_deutsche welle_
2005,middle eastern,991,11.78,22.77,65.45,fox news,middle eastern_fox news_
2005,indigenous,3939,16.26,35.97,47.78,bloomberg,indigenous_bloomberg_
2005,african,4897,18.66,33.92,47.42,bloomberg,african_bloomberg_
2005,hispanic,4821,44.64,28.99,26.37,al jazeera,hispanic_al jazeera_
2005,african,782,43.36,29.51,27.13,le monde,african_le monde_
2005,middle eastern,1433,32.09,26.3,41.61,fox news,middle eastern_fox news_
2005,indigenous,4833,38.47,30.39,31.13,al jazeera,indigenous_al jazeera_
2005,indigenous,4157,39.09,24.91,36,reuters,indigenous_reuters_
2005,european,2998,21.35,30.22,48.43,cbs news,european_cbs news_
2005,hispanic,3183,13.48,29.58,56.94,bbc,hispanic_bbc_
2005,middle eastern,2436,55.6,43.21,1.18,times,middle eastern_the times_
2005,hispanic,1942,52.73,23.74,23.53,washington post,hispanic_washington post_
2005,middle eastern,3766,33.25,23.04,43.72,cnn,middle eastern_cnn_
2005,hispanic,4311,32.3,42.94,24.77,al jazeera,hispanic_al jazeera_
2005,hispanic,2092,43.85,45.55,10.6,deutsche welle,hispanic_deutsche welle_
2005,european,4098,30.82,21.74,47.44,fox news,european_fox news_
2005,middle eastern,3779,41.71,24.82,33.47,hindu,middle eastern_the hindu_
2005,middle eastern,2093,56.52,27.44,16.05,al jazeera,middle eastern_al jazeera_
2005,hispanic,3583,35.72,20.27,44.01,times,hispanic_the times_
2005,middle eastern,969,32.92,34.87,32.21,deutsche welle,middle eastern_deutsche welle_
2005,asian,1520,43.58,20.58,35.84,abc news,asian_abc news_
2005,african,929,44.65,28.15,27.19,deutsche welle,african_deutsche welle_
2005,european,2494,57.31,43.3,-0.61,cbs news,european_cbs news_
2005,indigenous,2339,40.47,31.18,28.35,times,indigenous_the times_
2005,african,515,12.7,23.65,63.65,hindu,african_the hindu_
2005,indigenous,3930,59.88,41.35,-1.23,cnn,indigenous_cnn_
2005,indigenous,4193,24.01,42.16,33.83,hindu,indigenous_the hindu_
2005,european,1489,23.48,31.77,44.75,ny times,european_ny times_
2005,middle eastern,2516,48.17,20.2,31.63,guardian,middle eastern_the guardian_
2005,middle eastern,2114,56.68,49.41,-6.09,le monde,middle eastern_le monde_
2005,indigenous,4021,38.32,33.75,27.93,abc news,indigenous_abc news_
2005,european,3901,27.71,40.46,31.83,bloomberg,european_bloomberg_
2006,european,1068,48.16,45.93,5.91,bbc,european_bbc_
2006,middle eastern,1077,18.96,37.47,43.57,le monde,middle eastern_le monde_
2006,african,3458,58.11,22.07,19.82,guardian,african_the guardian_
2006,hispanic,1270,57.26,43.66,-0.92,bloomberg,hispanic_bloomberg_
2006,middle eastern,2107,45.03,49.24,5.72,ny times,middle eastern_ny times_
2006,indigenous,3919,43.92,33.12,22.95,al jazeera,indigenous_al jazeera_
2006,asian,1214,21.63,21.08,57.29,bloomberg,asian_bloomberg_
2006,middle eastern,857,43.19,20.54,36.28,deutsche welle,middle eastern_deutsche welle_
2006,middle eastern,3828,29.82,46.78,23.39,bloomberg,middle eastern_bloomberg_
2006,middle eastern,2569,43.39,23.42,33.19,reuters,middle eastern_reuters_
2006,european,2724,52.47,20.38,27.15,bloomberg,european_bloomberg_
2006,middle eastern,4888,49.02,24.23,26.74,bloomberg,middle eastern_bloomberg_
2006,indigenous,3715,20.79,32.68,46.53,nbc news,indigenous_nbc news_
2006,indigenous,1722,49.7,31.54,18.77,abc news,indigenous_abc news_
2006,asian,4045,57.58,34.62,7.8,bloomberg,asian_bloomberg_
2006,asian,2114,33.81,42.01,24.19,associated press,asian_associated press_
2006,middle eastern,2606,56.99,48.29,-5.29,fox news,middle eastern_fox news_
2006,hispanic,3707,36.79,47.62,15.59,reuters,hispanic_reuters_
2006,asian,1874,38.96,33.54,27.49,abc news,asian_abc news_
2006,middle eastern,2857,34.67,23.8,41.53,le monde,middle eastern_le monde_
2006,indigenous,937,21.25,20.01,58.74,deutsche welle,indigenous_deutsche welle_
2006,african,921,44.18,48.16,7.66,deutsche welle,african_deutsche welle_
2006,middle eastern,724,11.58,22.36,66.05,cnn,middle eastern_cnn_
2006,indigenous,4558,51.12,33.03,15.84,washington post,indigenous_washington post_
2006,hispanic,3486,14.52,30.66,54.83,reuters,hispanic_reuters_
2006,middle eastern,1389,46.42,42.05,11.53,reuters,middle eastern_reuters_
2006,hispanic,4793,46.11,26.45,27.44,nbc news,hispanic_nbc news_
2006,african,2078,30.67,38.84,30.49,guardian,african_the guardian_
2006,european,1972,40.78,48.61,10.61,cnn,european_cnn_
2006,middle eastern,1996,44.58,46.87,8.54,ny times,middle eastern_ny times_
2006,african,843,11.56,27.4,61.04,times,african_the times_
2006,indigenous,1576,10.8,30.07,59.13,le monde,indigenous_le monde_
2006,hispanic,1203,47.79,22.81,29.4,abc news,hispanic_abc news_
2006,hispanic,4807,59.27,44.79,-4.05,times,hispanic_the times_
2006,european,1101,52.77,28.77,18.46,fox news,european_fox news_
2006,middle eastern,2172,17.66,42.13,40.21,guardian,middle eastern_the guardian_
2006,middle eastern,4305,26.38,29.06,44.55,fox news,middle eastern_fox news_
2006,middle eastern,1727,11.05,30.98,57.97,washington post,middle eastern_washington post_
2006,european,4825,53.43,21.51,25.06,cnn,european_cnn_
2006,asian,1663,42.73,47.21,10.06,ny times,asian_ny times_
2006,hispanic,1299,54.82,27.34,17.84,washington post,hispanic_washington post_
2006,hispanic,4536,30.05,34.14,35.81,bbc,hispanic_bbc_
2006,african,1512,46.37,25.99,27.64,reuters,african_reuters_
2006,hispanic,2665,20.09,39.71,40.2,times,hispanic_the times_
2006,middle eastern,3980,44.68,43.36,11.96,reuters,middle eastern_reuters_
2006,hispanic,2951,12.55,27.24,60.21,cnn,hispanic_cnn_
2006,african,2606,11.63,22.67,65.7,bloomberg,african_bloomberg_
2006,european,1686,38.76,44.81,16.43,times,european_the times_
2006,african,2381,26.66,41.57,31.77,nbc news,african_nbc news_
2006,african,2645,23.23,26,50.78,cnn,african_cnn_
2006,middle eastern,677,50.42,48,1.58,times,middle eastern_the times_
2006,hispanic,2373,25.95,23.24,50.81,guardian,hispanic_the guardian_
2006,indigenous,3405,49.25,32.7,18.05,fox news,indigenous_fox news_
2006,european,1569,42.57,41.93,15.5,nbc news,european_nbc news_
2006,asian,3553,48.8,46.55,4.65,bbc,asian_bbc_
2006,african,2336,25.77,37.51,36.72,cnn,african_cnn_
2006,european,4497,32.42,24.18,43.4,washington post,european_washington post_
2006,european,1141,53.44,33.5,13.06,reuters,european_reuters_
2006,middle eastern,3853,10.29,32.69,57.01,times,middle eastern_the times_
2006,european,3235,32.99,46.11,20.89,deutsche welle,european_deutsche welle_
2006,indigenous,4836,48.92,45.15,5.94,washington post,indigenous_washington post_
2006,indigenous,848,47.29,23.21,29.51,al jazeera,indigenous_al jazeera_
2006,middle eastern,3287,52.24,25.46,22.3,hindu,middle eastern_the hindu_
2006,asian,2769,44.14,36.18,19.68,reuters,asian_reuters_
2006,european,1862,50.92,41.91,7.18,hindu,european_the hindu_
2006,african,4167,41.1,25.07,33.83,cbs news,african_cbs news_
2006,hispanic,3266,35.08,32.58,32.34,bloomberg,hispanic_bloomberg_
2006,african,4084,54.62,38.67,6.71,le monde,african_le monde_
2006,indigenous,4377,43.32,37.31,19.37,ny times,indigenous_ny times_
2006,middle eastern,4500,38.92,42.9,18.18,bloomberg,middle eastern_bloomberg_
2006,european,3477,53.88,31.98,14.14,deutsche welle,european_deutsche welle_
2006,asian,1629,50.81,47.23,1.96,nbc news,asian_nbc news_
2006,european,1429,21.17,43.36,35.47,times,european_the times_
2006,european,2785,41.11,32.32,26.57,associated press,european_associated press_
2006,african,2706,55.34,48.15,-3.49,bbc,african_bbc_
2006,hispanic,572,28.27,25.99,45.74,washington post,hispanic_washington post_
2006,african,2063,42.78,34.32,22.89,hindu,african_the hindu_
2006,african,1097,41.55,47.76,10.69,washington post,african_washington post_
2006,european,3807,28.85,30.8,40.35,bloomberg,european_bloomberg_
2006,middle eastern,1781,38.44,41.66,19.9,washington post,middle eastern_washington post_
2006,middle eastern,1062,36.02,43.85,20.13,cnn,middle eastern_cnn_
2006,asian,4017,58.07,40.63,1.3,cbs news,asian_cbs news_
2006,middle eastern,3513,57.98,20.9,21.11,bloomberg,middle eastern_bloomberg_
2006,hispanic,769,32.07,41.02,26.91,le monde,hispanic_le monde_
2006,hispanic,2922,33.21,45.79,20.99,le monde,hispanic_le monde_
2006,asian,728,17.83,43.33,38.84,hindu,asian_the hindu_
2006,asian,2659,35.67,32.72,31.6,abc news,asian_abc news_
2006,middle eastern,2824,37.59,43.37,19.03,abc news,middle eastern_abc news_
2006,african,2744,27.96,29.4,42.64,le monde,african_le monde_
2006,indigenous,2375,41.61,36.51,21.88,guardian,indigenous_the guardian_
2006,hispanic,1995,41.24,40.59,18.18,deutsche welle,hispanic_deutsche welle_
2006,asian,649,45.52,42.6,11.89,fox news,asian_fox news_
2006,european,2752,42.29,48.87,8.85,washington post,european_washington post_
2006,asian,4722,32.81,32.85,34.34,guardian,asian_the guardian_
2006,african,1065,13.94,33.2,52.85,le monde,african_le monde_
2006,asian,4840,22.09,27.14,50.77,nbc news,asian_nbc news_
2006,middle eastern,2096,48.79,48.7,2.51,nbc news,middle eastern_nbc news_
2006,middle eastern,2146,16.5,42.49,41.01,reuters,middle eastern_reuters_
2006,hispanic,1032,14.03,48.07,37.91,nbc news,hispanic_nbc news_
2006,african,3037,32.32,38.35,29.33,cnn,african_cnn_
2006,middle eastern,1907,47.13,34.02,18.85,nbc news,middle eastern_nbc news_
2006,european,3932,41.73,37.52,20.75,fox news,european_fox news_
2006,african,2446,46.99,31.18,21.82,cbs news,african_cbs news_
2006,asian,3214,11.51,31.16,57.33,times,asian_the times_
2006,middle eastern,4946,49.01,25.73,25.26,ny times,middle eastern_ny times_
2006,indigenous,908,51.91,49.8,-1.72,bbc,indigenous_bbc_
2006,african,3656,21.31,49.8,28.89,associated press,african_associated press_
2006,african,1973,13.55,40.74,45.71,bbc,african_bbc_
2006,middle eastern,868,59.32,48.09,-7.41,fox news,middle eastern_fox news_
2006,hispanic,3361,34.53,30.23,35.24,times,hispanic_the times_
2006,middle eastern,2314,45.2,43.1,11.7,deutsche welle,middle eastern_deutsche welle_
2006,asian,623,41.58,41.47,16.94,le monde,asian_le monde_
2006,european,1536,46.35,38.04,15.61,deutsche welle,european_deutsche welle_
2006,african,2775,56.73,20.17,23.11,times,african_the times_
2006,indigenous,2112,59.91,24.37,15.72,le monde,indigenous_le monde_
2006,european,2533,57.38,25.72,16.91,associated press,european_associated press_
2006,hispanic,883,16.42,39.01,44.57,nbc news,hispanic_nbc news_
2006,middle eastern,4151,54.44,49.99,-4.42,cnn,middle eastern_cnn_
2006,middle eastern,4359,33.2,46.39,20.41,cnn,middle eastern_cnn_
2006,african,3266,49.94,45.09,4.96,cnn,african_cnn_
2007,african,4312,44.7,44.54,10.76,bloomberg,african_bloomberg_
2007,hispanic,4127,28.6,32.13,39.27,hindu,hispanic_the hindu_
2007,indigenous,2334,57.21,45.6,-2.81,cnn,indigenous_cnn_
2007,african,647,57.73,20.32,21.95,cbs news,african_cbs news_
2007,african,3749,32.41,38.42,29.18,al jazeera,african_al jazeera_
2007,middle eastern,605,24.12,30.05,45.83,cnn,middle eastern_cnn_
2007,african,788,26.06,30.1,43.84,bloomberg,african_bloomberg_
2007,african,2785,21.53,41.44,37.03,le monde,african_le monde_
2007,asian,2048,34.91,20.83,44.26,deutsche welle,asian_deutsche welle_
2007,european,4714,49.52,46.83,3.65,reuters,european_reuters_
2007,asian,2858,30.56,45.96,23.49,guardian,asian_the guardian_
2007,european,4430,51.12,33.49,15.39,times,european_the times_
2007,european,832,27.48,28.59,43.93,nbc news,european_nbc news_
2007,hispanic,4213,21.79,23.2,55.01,reuters,hispanic_reuters_
2007,european,3556,17.08,48,34.92,bbc,european_bbc_
2007,middle eastern,4812,34.27,37.07,28.66,associated press,middle eastern_associated press_
2007,indigenous,818,33.16,33.81,33.02,deutsche welle,indigenous_deutsche welle_
2007,middle eastern,3760,45.51,49.12,5.36,cbs news,middle eastern_cbs news_
2007,middle eastern,4256,16.76,45.2,38.04,fox news,middle eastern_fox news_
2007,european,4356,41.13,24.6,34.27,bloomberg,european_bloomberg_
2007,hispanic,3128,38.25,35.06,26.69,le monde,hispanic_le monde_
2007,hispanic,1346,18.75,43.57,37.68,associated press,hispanic_associated press_
2007,hispanic,2321,28.25,25.34,46.41,associated press,hispanic_associated press_
2007,middle eastern,1632,39.54,24.44,36.02,cnn,middle eastern_cnn_
2007,european,3177,19.93,35.53,44.54,times,european_the times_
2007,african,2366,39.21,49.15,11.64,le monde,african_le monde_
2007,indigenous,3697,48.61,44.88,6.52,washington post,indigenous_washington post_
2007,asian,2161,31.11,40.69,28.2,al jazeera,asian_al jazeera_
2007,indigenous,2188,49.61,27.68,22.71,abc news,indigenous_abc news_
2007,european,2922,51.58,30.93,17.49,bbc,european_bbc_
